"symbol","pair","expiry","nomismaSymbol","classification"
"ETC0830","ETC/USD","Aug19","ETC/USD - Aug19","Pair"
"ETC0927","ETC/USD","Sep19","ETC/USD - Sep19","Pair"
"ETC1025","ETC/USD","Oct19","ETC/USD - Oct19","Pair"
"ETC1129","ETC/USD","Nov19","ETC/USD - Nov19","Pair"
"ETC1227","ETC/USD","Dec19","ETC/USD - Dec19","Pair"
"ETC0131","ETC/USD","Jan20","ETC/USD - Jan20","Pair"
"ETC0228","ETC/USD","Feb20","ETC/USD - Feb20","Pair"
"ETC0327","ETC/USD","Mar20","ETC/USD - Mar20","Pair"
"ETC0424","ETC/USD","Apr20","ETC/USD - Apr20","Pair"
"ETC0529","ETC/USD","May20","ETC/USD - May20","Pair"
"ETC0626","ETC/USD","Jun20","ETC/USD - Jun20","Pair"
"ETC0731","ETC/USD","Jul20","ETC/USD - Jul20","Pair"
"ETC0828","ETC/USD","Aug20","ETC/USD - Aug20","Pair"
"ETC0925","ETC/USD","Sep20","ETC/USD - Sep20","Pair"
"ETC1030","ETC/USD","Oct20","ETC/USD - Oct20","Pair"
"ETC1127","ETC/USD","Nov20","ETC/USD - Nov20","Pair"
"ETC1225","ETC/USD","Dec20","ETC/USD - Dec20","Pair"
"ETC0129","ETC/USD","Jan21","ETC/USD - Jan21","Pair"
"ETC0226","ETC/USD","Feb21","ETC/USD - Feb21","Pair"
"ETC0326","ETC/USD","Mar21","ETC/USD - Mar21","Pair"
"ETC0430","ETC/USD","Apr21","ETC/USD - Apr21","Pair"
"ETC0528","ETC/USD","May21","ETC/USD - May21","Pair"
"ETC0625","ETC/USD","Jun21","ETC/USD - Jun21","Pair"
"ETC0730","ETC/USD","Jul21","ETC/USD - Jul21","Pair"
"ETC0827","ETC/USD","Aug21","ETC/USD - Aug21","Pair"
"ETC0924","ETC/USD","Sep21","ETC/USD - Sep21","Pair"
"ETC1029","ETC/USD","Oct21","ETC/USD - Oct21","Pair"
"ETC1126","ETC/USD","Nov21","ETC/USD - Nov21","Pair"
"ETC1231","ETC/USD","Dec21","ETC/USD - Dec21","Pair"
"ETC0128","ETC/USD","Jan22","ETC/USD - Jan22","Pair"
"ETC0225","ETC/USD","Feb22","ETC/USD - Feb22","Pair"
"ETC0325","ETC/USD","Mar22","ETC/USD - Mar22","Pair"
"ETC0429","ETC/USD","Apr22","ETC/USD - Apr22","Pair"
"ETC0527","ETC/USD","May22","ETC/USD - May22","Pair"
"ETC0624","ETC/USD","Jun22","ETC/USD - Jun22","Pair"
"ETC0729","ETC/USD","Jul22","ETC/USD - Jul22","Pair"
"ETC0826","ETC/USD","Aug22","ETC/USD - Aug22","Pair"
"ETC0930","ETC/USD","Sep22","ETC/USD - Sep22","Pair"
"ETC1028","ETC/USD","Oct22","ETC/USD - Oct22","Pair"
"ETC1125","ETC/USD","Nov22","ETC/USD - Nov22","Pair"
"ETC1230","ETC/USD","Dec22","ETC/USD - Dec22","Pair"
"ETC0127","ETC/USD","Jan23","ETC/USD - Jan23","Pair"
"ETC0224","ETC/USD","Feb23","ETC/USD - Feb23","Pair"
"ETC0331","ETC/USD","Mar23","ETC/USD - Mar23","Pair"
"ETC0428","ETC/USD","Apr23","ETC/USD - Apr23","Pair"
"ETC0526","ETC/USD","May23","ETC/USD - May23","Pair"
"ETC0630","ETC/USD","Jun23","ETC/USD - Jun23","Pair"
"ETC0728","ETC/USD","Jul23","ETC/USD - Jul23","Pair"
"ETC0825","ETC/USD","Aug23","ETC/USD - Aug23","Pair"
"ETC0929","ETC/USD","Sep23","ETC/USD - Sep23","Pair"
"ETC1027","ETC/USD","Oct23","ETC/USD - Oct23","Pair"
"ETC1124","ETC/USD","Nov23","ETC/USD - Nov23","Pair"
"ETC1229","ETC/USD","Dec23","ETC/USD - Dec23","Pair"
"XRP Swap","XRP/USD","Perpetual","XRP/USD - Perpetual","Pair"
"XRP0830","XRP/USD","Aug19","XRP/USD - Aug19","Pair"
"XRP0927","XRP/USD","Sep19","XRP/USD - Sep19","Pair"
"XRP1025","XRP/USD","Oct19","XRP/USD - Oct19","Pair"
"XRP1129","XRP/USD","Nov19","XRP/USD - Nov19","Pair"
"XRP1227","XRP/USD","Dec19","XRP/USD - Dec19","Pair"
"XRP0131","XRP/USD","Jan20","XRP/USD - Jan20","Pair"
"XRP0228","XRP/USD","Feb20","XRP/USD - Feb20","Pair"
"XRP0327","XRP/USD","Mar20","XRP/USD - Mar20","Pair"
"XRP0424","XRP/USD","Apr20","XRP/USD - Apr20","Pair"
"XRP0529","XRP/USD","May20","XRP/USD - May20","Pair"
"XRP0626","XRP/USD","Jun20","XRP/USD - Jun20","Pair"
"XRP0731","XRP/USD","Jul20","XRP/USD - Jul20","Pair"
"XRP0828","XRP/USD","Aug20","XRP/USD - Aug20","Pair"
"XRP0925","XRP/USD","Sep20","XRP/USD - Sep20","Pair"
"XRP1030","XRP/USD","Oct20","XRP/USD - Oct20","Pair"
"XRP1127","XRP/USD","Nov20","XRP/USD - Nov20","Pair"
"XRP1225","XRP/USD","Dec20","XRP/USD - Dec20","Pair"
"XRP0129","XRP/USD","Jan21","XRP/USD - Jan21","Pair"
"XRP0226","XRP/USD","Feb21","XRP/USD - Feb21","Pair"
"XRP0326","XRP/USD","Mar21","XRP/USD - Mar21","Pair"
"XRP0430","XRP/USD","Apr21","XRP/USD - Apr21","Pair"
"XRP0528","XRP/USD","May21","XRP/USD - May21","Pair"
"XRP0625","XRP/USD","Jun21","XRP/USD - Jun21","Pair"
"XRP0730","XRP/USD","Jul21","XRP/USD - Jul21","Pair"
"XRP0827","XRP/USD","Aug21","XRP/USD - Aug21","Pair"
"XRP0924","XRP/USD","Sep21","XRP/USD - Sep21","Pair"
"XRP1029","XRP/USD","Oct21","XRP/USD - Oct21","Pair"
"XRP1126","XRP/USD","Nov21","XRP/USD - Nov21","Pair"
"XRP1231","XRP/USD","Dec21","XRP/USD - Dec21","Pair"
"XRP0128","XRP/USD","Jan22","XRP/USD - Jan22","Pair"
"XRP0225","XRP/USD","Feb22","XRP/USD - Feb22","Pair"
"XRP0325","XRP/USD","Mar22","XRP/USD - Mar22","Pair"
"XRP0429","XRP/USD","Apr22","XRP/USD - Apr22","Pair"
"XRP0527","XRP/USD","May22","XRP/USD - May22","Pair"
"XRP0624","XRP/USD","Jun22","XRP/USD - Jun22","Pair"
"XRP0729","XRP/USD","Jul22","XRP/USD - Jul22","Pair"
"XRP0826","XRP/USD","Aug22","XRP/USD - Aug22","Pair"
"XRP0930","XRP/USD","Sep22","XRP/USD - Sep22","Pair"
"XRP1028","XRP/USD","Oct22","XRP/USD - Oct22","Pair"
"XRP1125","XRP/USD","Nov22","XRP/USD - Nov22","Pair"
"XRP1230","XRP/USD","Dec22","XRP/USD - Dec22","Pair"
"XRP0127","XRP/USD","Jan23","XRP/USD - Jan23","Pair"
"XRP0224","XRP/USD","Feb23","XRP/USD - Feb23","Pair"
"XRP0331","XRP/USD","Mar23","XRP/USD - Mar23","Pair"
"XRP0428","XRP/USD","Apr23","XRP/USD - Apr23","Pair"
"XRP0526","XRP/USD","May23","XRP/USD - May23","Pair"
"XRP0630","XRP/USD","Jun23","XRP/USD - Jun23","Pair"
"XRP0728","XRP/USD","Jul23","XRP/USD - Jul23","Pair"
"XRP0825","XRP/USD","Aug23","XRP/USD - Aug23","Pair"
"XRP0929","XRP/USD","Sep23","XRP/USD - Sep23","Pair"
"XRP1027","XRP/USD","Oct23","XRP/USD - Oct23","Pair"
"XRP1124","XRP/USD","Nov23","XRP/USD - Nov23","Pair"
"XRP1229","XRP/USD","Dec23","XRP/USD - Dec23","Pair"
"EOS Swap","EOS/USD","Perpetual","EOS/USD - Perpetual","Pair"
"EOS0830","EOS/USD","Aug19","EOS/USD - Aug19","Pair"
"EOS0927","EOS/USD","Sep19","EOS/USD - Sep19","Pair"
"EOS1025","EOS/USD","Oct19","EOS/USD - Oct19","Pair"
"EOS1129","EOS/USD","Nov19","EOS/USD - Nov19","Pair"
"EOS1227","EOS/USD","Dec19","EOS/USD - Dec19","Pair"
"EOS0131","EOS/USD","Jan20","EOS/USD - Jan20","Pair"
"EOS0228","EOS/USD","Feb20","EOS/USD - Feb20","Pair"
"EOS0327","EOS/USD","Mar20","EOS/USD - Mar20","Pair"
"EOS0424","EOS/USD","Apr20","EOS/USD - Apr20","Pair"
"EOS0529","EOS/USD","May20","EOS/USD - May20","Pair"
"EOS0626","EOS/USD","Jun20","EOS/USD - Jun20","Pair"
"EOS0731","EOS/USD","Jul20","EOS/USD - Jul20","Pair"
"EOS0828","EOS/USD","Aug20","EOS/USD - Aug20","Pair"
"EOS0925","EOS/USD","Sep20","EOS/USD - Sep20","Pair"
"EOS1030","EOS/USD","Oct20","EOS/USD - Oct20","Pair"
"EOS1127","EOS/USD","Nov20","EOS/USD - Nov20","Pair"
"EOS1225","EOS/USD","Dec20","EOS/USD - Dec20","Pair"
"EOS0129","EOS/USD","Jan21","EOS/USD - Jan21","Pair"
"EOS0226","EOS/USD","Feb21","EOS/USD - Feb21","Pair"
"EOS0326","EOS/USD","Mar21","EOS/USD - Mar21","Pair"
"EOS0430","EOS/USD","Apr21","EOS/USD - Apr21","Pair"
"EOS0528","EOS/USD","May21","EOS/USD - May21","Pair"
"EOS0625","EOS/USD","Jun21","EOS/USD - Jun21","Pair"
"EOS0730","EOS/USD","Jul21","EOS/USD - Jul21","Pair"
"EOS0827","EOS/USD","Aug21","EOS/USD - Aug21","Pair"
"EOS0924","EOS/USD","Sep21","EOS/USD - Sep21","Pair"
"EOS1029","EOS/USD","Oct21","EOS/USD - Oct21","Pair"
"EOS1126","EOS/USD","Nov21","EOS/USD - Nov21","Pair"
"EOS1231","EOS/USD","Dec21","EOS/USD - Dec21","Pair"
"EOS0128","EOS/USD","Jan22","EOS/USD - Jan22","Pair"
"EOS0225","EOS/USD","Feb22","EOS/USD - Feb22","Pair"
"EOS0325","EOS/USD","Mar22","EOS/USD - Mar22","Pair"
"EOS0429","EOS/USD","Apr22","EOS/USD - Apr22","Pair"
"EOS0527","EOS/USD","May22","EOS/USD - May22","Pair"
"EOS0624","EOS/USD","Jun22","EOS/USD - Jun22","Pair"
"EOS0729","EOS/USD","Jul22","EOS/USD - Jul22","Pair"
"EOS0826","EOS/USD","Aug22","EOS/USD - Aug22","Pair"
"EOS0930","EOS/USD","Sep22","EOS/USD - Sep22","Pair"
"EOS1028","EOS/USD","Oct22","EOS/USD - Oct22","Pair"
"EOS1125","EOS/USD","Nov22","EOS/USD - Nov22","Pair"
"EOS1230","EOS/USD","Dec22","EOS/USD - Dec22","Pair"
"EOS0127","EOS/USD","Jan23","EOS/USD - Jan23","Pair"
"EOS0224","EOS/USD","Feb23","EOS/USD - Feb23","Pair"
"EOS0331","EOS/USD","Mar23","EOS/USD - Mar23","Pair"
"EOS0428","EOS/USD","Apr23","EOS/USD - Apr23","Pair"
"EOS0526","EOS/USD","May23","EOS/USD - May23","Pair"
"EOS0630","EOS/USD","Jun23","EOS/USD - Jun23","Pair"
"EOS0728","EOS/USD","Jul23","EOS/USD - Jul23","Pair"
"EOS0825","EOS/USD","Aug23","EOS/USD - Aug23","Pair"
"EOS0929","EOS/USD","Sep23","EOS/USD - Sep23","Pair"
"EOS1027","EOS/USD","Oct23","EOS/USD - Oct23","Pair"
"EOS1124","EOS/USD","Nov23","EOS/USD - Nov23","Pair"
"EOS1229","EOS/USD","Dec23","EOS/USD - Dec23","Pair"
"BCH Swap","BCH/USD","Perpetual","BCH/USD - Perpetual","Pair"
"BCH0830","BCH/USD","Aug19","BCH/USD - Aug19","Pair"
"BCH0927","BCH/USD","Sep19","BCH/USD - Sep19","Pair"
"BCH1025","BCH/USD","Oct19","BCH/USD - Oct19","Pair"
"BCH1129","BCH/USD","Nov19","BCH/USD - Nov19","Pair"
"BCH1227","BCH/USD","Dec19","BCH/USD - Dec19","Pair"
"BCH0131","BCH/USD","Jan20","BCH/USD - Jan20","Pair"
"BCH0228","BCH/USD","Feb20","BCH/USD - Feb20","Pair"
"BCH0327","BCH/USD","Mar20","BCH/USD - Mar20","Pair"
"BCH0424","BCH/USD","Apr20","BCH/USD - Apr20","Pair"
"BCH0529","BCH/USD","May20","BCH/USD - May20","Pair"
"BCH0626","BCH/USD","Jun20","BCH/USD - Jun20","Pair"
"BCH0731","BCH/USD","Jul20","BCH/USD - Jul20","Pair"
"BCH0828","BCH/USD","Aug20","BCH/USD - Aug20","Pair"
"BCH0925","BCH/USD","Sep20","BCH/USD - Sep20","Pair"
"BCH1030","BCH/USD","Oct20","BCH/USD - Oct20","Pair"
"BCH1127","BCH/USD","Nov20","BCH/USD - Nov20","Pair"
"BCH1225","BCH/USD","Dec20","BCH/USD - Dec20","Pair"
"BCH0129","BCH/USD","Jan21","BCH/USD - Jan21","Pair"
"BCH0226","BCH/USD","Feb21","BCH/USD - Feb21","Pair"
"BCH0326","BCH/USD","Mar21","BCH/USD - Mar21","Pair"
"BCH0430","BCH/USD","Apr21","BCH/USD - Apr21","Pair"
"BCH0528","BCH/USD","May21","BCH/USD - May21","Pair"
"BCH0625","BCH/USD","Jun21","BCH/USD - Jun21","Pair"
"BCH0730","BCH/USD","Jul21","BCH/USD - Jul21","Pair"
"BCH0827","BCH/USD","Aug21","BCH/USD - Aug21","Pair"
"BCH0924","BCH/USD","Sep21","BCH/USD - Sep21","Pair"
"BCH1029","BCH/USD","Oct21","BCH/USD - Oct21","Pair"
"BCH1126","BCH/USD","Nov21","BCH/USD - Nov21","Pair"
"BCH1231","BCH/USD","Dec21","BCH/USD - Dec21","Pair"
"BCH0128","BCH/USD","Jan22","BCH/USD - Jan22","Pair"
"BCH0225","BCH/USD","Feb22","BCH/USD - Feb22","Pair"
"BCH0325","BCH/USD","Mar22","BCH/USD - Mar22","Pair"
"BCH0429","BCH/USD","Apr22","BCH/USD - Apr22","Pair"
"BCH0527","BCH/USD","May22","BCH/USD - May22","Pair"
"BCH0624","BCH/USD","Jun22","BCH/USD - Jun22","Pair"
"BCH0729","BCH/USD","Jul22","BCH/USD - Jul22","Pair"
"BCH0826","BCH/USD","Aug22","BCH/USD - Aug22","Pair"
"BCH0930","BCH/USD","Sep22","BCH/USD - Sep22","Pair"
"BCH1028","BCH/USD","Oct22","BCH/USD - Oct22","Pair"
"BCH1125","BCH/USD","Nov22","BCH/USD - Nov22","Pair"
"BCH1230","BCH/USD","Dec22","BCH/USD - Dec22","Pair"
"BCH0127","BCH/USD","Jan23","BCH/USD - Jan23","Pair"
"BCH0224","BCH/USD","Feb23","BCH/USD - Feb23","Pair"
"BCH0331","BCH/USD","Mar23","BCH/USD - Mar23","Pair"
"BCH0428","BCH/USD","Apr23","BCH/USD - Apr23","Pair"
"BCH0526","BCH/USD","May23","BCH/USD - May23","Pair"
"BCH0630","BCH/USD","Jun23","BCH/USD - Jun23","Pair"
"BCH0728","BCH/USD","Jul23","BCH/USD - Jul23","Pair"
"BCH0825","BCH/USD","Aug23","BCH/USD - Aug23","Pair"
"BCH0929","BCH/USD","Sep23","BCH/USD - Sep23","Pair"
"BCH1027","BCH/USD","Oct23","BCH/USD - Oct23","Pair"
"BCH1124","BCH/USD","Nov23","BCH/USD - Nov23","Pair"
"BCH1229","BCH/USD","Dec23","BCH/USD - Dec23","Pair"
"BSV Swap","BSV/USD","Perpetual","BSV/USD - Perpetual","Pair"
