Kraken API symbol,Name,Contract,Symbol - Nomisma,Classification
fi_xrpusd_220225,XRP/USD,Feb22,XRP/USD - Feb22,Pair
fi_xrpusd_220325,XRP/USD,Mar22,XRP/USD - Mar22,Pair
fi_xrpusd_220429,XRP/USD,Apr22,XRP/USD - Apr22,Pair
fi_xrpusd_220527,XRP/USD,May22,XRP/USD - May22,Pair
fi_xrpusd_220624,XRP/USD,Jun22,XRP/USD - Jun22,Pair
fi_xrpusd_220729,XRP/USD,Jul22,XRP/USD - Jul22,Pair
fi_xrpusd_220826,XRP/USD,Aug22,XRP/USD - Aug22,Pair
fi_xrpusd_220930,XRP/USD,Sep22,XRP/USD - Sep22,Pair
fi_xrpusd_221028,XRP/USD,Oct22,XRP/USD - Oct22,Pair
fi_xrpusd_221125,XRP/USD,Nov22,XRP/USD - Nov22,Pair
fi_xrpusd_221230,XRP/USD,Dec22,XRP/USD - Dec22,Pair
fi_xrpusd_230127,XRP/USD,Jan23,XRP/USD - Jan23,Pair
fi_xrpusd_230224,XRP/USD,Feb23,XRP/USD - Feb23,Pair
fi_xrpusd_230331,XRP/USD,Mar23,XRP/USD - Mar23,Pair
fi_xrpusd_230428,XRP/USD,Apr23,XRP/USD - Apr23,Pair
fi_xrpusd_230526,XRP/USD,May23,XRP/USD - May23,Pair
fi_xrpusd_230630,XRP/USD,Jun23,XRP/USD - Jun23,Pair
fi_xrpusd_230728,XRP/USD,Jul23,XRP/USD - Jul23,Pair
fi_xrpusd_230825,XRP/USD,Aug23,XRP/USD - Aug23,Pair
fi_xrpusd_230929,XRP/USD,Sep23,XRP/USD - Sep23,Pair
fi_xrpusd_231027,XRP/USD,Oct23,XRP/USD - Oct23,Pair
fi_xrpusd_231124,XRP/USD,Nov23,XRP/USD - Nov23,Pair
fi_xrpusd_231229,XRP/USD,Dec23,XRP/USD - Dec23,Pair
pv_xrpxbt,XRP/BTC,Perpetual,XRP/BTC - Perpetual,Pair
fv_xrpxbt_190830,XRP/BTC,Aug19,XRP/BTC - Aug19,Pair
fv_xrpxbt_190927,XRP/BTC,Sep19,XRP/BTC - Sep19,Pair
fv_xrpxbt_191025,XRP/BTC,Oct19,XRP/BTC - Oct19,Pair
fv_xrpxbt_191129,XRP/BTC,Nov19,XRP/BTC - Nov19,Pair
fv_xrpxbt_191227,XRP/BTC,Dec19,XRP/BTC - Dec19,Pair
fv_xrpxbt_200131,XRP/BTC,Jan20,XRP/BTC - Jan20,Pair
fv_xrpxbt_200228,XRP/BTC,Feb20,XRP/BTC - Feb20,Pair
