"symbol","pair","expiry","nomismaSymbol","classification"
"ETH/USD - 30 Sep 2022","ETH/USD","Sep22","ETH/USD - Sep22","Pair"
"ETH/USD - 28 Oct 2022","ETH/USD","Oct22","ETH/USD - Oct22","Pair"
"ETH/USD - 25 Nov 2022","ETH/USD","Nov22","ETH/USD - Nov22","Pair"
"ETH/USD - 30 Dec 2022","ETH/USD","Dec22","ETH/USD - Dec22","Pair"
"ETH/USD - 27 Jan 2023","ETH/USD","Jan23","ETH/USD - Jan23","Pair"
"ETH/USD - 24 Feb 2023","ETH/USD","Feb23","ETH/USD - Feb23","Pair"
"ETH/USD - 31 Mar 2023","ETH/USD","Mar23","ETH/USD - Mar23","Pair"
"ETH/USD - 28 Apr 2023","ETH/USD","Apr23","ETH/USD - Apr23","Pair"
"ETH/USD - 26 May 2023","ETH/USD","May23","ETH/USD - May23","Pair"
"ETH/USD - 30 Jun 2023","ETH/USD","Jun23","ETH/USD - Jun23","Pair"
"ETH/USD - 28 Jul 2023","ETH/USD","Jul23","ETH/USD - Jul23","Pair"
"ETH/USD - 25 Aug 2023","ETH/USD","Aug23","ETH/USD - Aug23","Pair"
"ETH/USD - 29 Sep 2023","ETH/USD","Sep23","ETH/USD - Sep23","Pair"
"ETH/USD - 27 Oct 2023","ETH/USD","Oct23","ETH/USD - Oct23","Pair"
"ETH/USD - 24 Nov 2023","ETH/USD","Nov23","ETH/USD - Nov23","Pair"
"ETH/USD - 29 Dec 2023","ETH/USD","Dec23","ETH/USD - Dec23","Pair"
